Name,Population,Median Housing Price per sqft
"Aberdeen, SD",42037,116
"Aberdeen, WA",77038,296
"Abilene, TX",179308,161
"Ada, OK",38141,114
"Adrian, MI",98567,149
"Akron, OH",697627,134
"Alamogordo, NM",68823,160
"Albany-Schenectady-Troy, NY",904617,218
"Albany, GA",145786,119
"Albany-Lebanon, OR",130467,269
"Albemarle, NC",64153,196
"Albert Lea, MN",30718,128
"Albertville, AL",99423,168
"Albuquerque, NM",919543,209
"Alexandria, LA",149189,116
"Alexandria, MN",39668,182
"Alice, TX",48714,124
"Allentown-Bethlehem-Easton, PA-NJ",871229,187
"Alma, MI",41100,116
"Alpena, MI",28847,139
"Altoona, PA",121032,101
"Altus, OK",24556,99
"Amarillo, TX",271171,159
"Americus, GA",33373,109
"Ames, IA",126282,212
"Amsterdam, NY",49623,131
"Anchorage, AK",400470,242
"Andrews, TX",18334,156
"Angola, IN",34725,196
"Ann Arbor, MI",366376,249
"Anniston-Oxford, AL",115788,112
"Appleton, WI",244845,195
"Arcadia, FL",35312,228
"Ardmore, OK",58728,138
"Arkadelphia, AR",21250,110
"Asheville, NC",476072,298
"Ashland, OH",52181,141
"Ashtabula, OH",97014,120
"Astoria, OR",41695,351
"Atchison, KS",16108,87
"Athens-Clarke County, GA",220405,203
"Athens, OH",58979,141
"Athens, TN",54719,179
"Athens, TX",84511,198
"Atlanta-Sandy Springs-Alpharetta, GA",6222106,196
"Atlantic City-Hammonton, NJ",275638,243
"Auburn-Opelika, AL",180773,184
"Auburn, IN",43731,170
"Auburn, NY",74998,135
"Augusta-Richmond County, GA-SC",624083,153
"Augusta-Waterville, ME",125540,216
"Austin-Round Rock-Georgetown, TX",2421115,271
"Austin, MN",40140,118
"Bainbridge, GA",28982,151
"Bakersfield, CA",916108,227
"Baltimore-Columbia-Towson, MD",2835672,212
"Bangor, ME",153704,180
"Baraboo, WI",65777,209
"Bardstown, KY",47392,190
"Barnstable Town, MA",232457,533
"Barre, VT",60048,249
"Bartlesville, OK",53242,108
"Batavia, NY",57535,130
"Batesville, AR",55755,120
"Baton Rouge, LA",873060,162
"Battle Creek, MI",133289,134
"Bay City, MI",102821,118
"Bay City, TX",36125,166
"Beatrice, NE",21583,125
"Beaumont-Port Arthur, TX",393575,125
"Beaver Dam, WI",88282,183
"Beckley, WV",112369,106
"Bedford, IN",45222,145
"Beeville, TX",30394,126
"Bellefontaine, OH",46040,177
"Bellingham, WA",230677,361
"Bemidji, MN",46799,178
"Bend, OR",206549,387
"Bennettsville, SC",26039,85
"Bennington, VT",37392,253
"Berlin, NH",31504,179
"Big Rapids, MI",40720,143
"Big Spring, TX",33672,126
"Big Stone Gap, VA",39030,84
"Billings, MT",190208,204
"Binghamton, NY",244889,111
"Birmingham-Hoover, AL",1116857,157
"Bismarck, ND",134846,178
"Blackfoot, ID",49923,168
"Blacksburg-Christiansburg, VA",165812,175
"Bloomington, IL",171141,124
"Bloomington, IN",161227,185
"Bloomsburg-Berwick, PA",83017,142
"Bluefield, WV-VA",104669,109
"Blytheville, AR",38896,76
"Bogalusa, LA",45025,115
"Boise City, ID",811336,283
"Boone, NC",55089,350
"Borger, TX",20215,88
"Boston-Cambridge-Newton, MA-NH",4900550,458
"Boulder, CO",327468,407
"Bowling Green, KY",185682,182
"Bozeman, MT",124857,471
"Bradford, PA",39866,87
"Brainerd, MN",99222,227
"Branson, MO",56821,214
"Breckenridge, CO",30565,815
"Bremerton-Silverdale-Port Orchard, WA",277673,314
"Brenham, TX",36159,201
"Brevard, NC",33355,304
"Bridgeport-Stamford-Norwalk, CT",962946,349
"Brookhaven, MS",34717,108
"Brookings, OR",23598,336
"Brookings, SD",35484,258
"Brownsville-Harlingen, TX",425208,170
"Brownwood, TX",38373,146
"Brunswick, GA",114442,224
"Bucyrus-Galion, OH",41522,106
"Buffalo-Cheektowaga, NY",1161192,171
"Burley, ID",47849,204
"Burlington-South Burlington, VT",227521,268
"Burlington, IA-IL",44444,106
"Burlington, NC",176353,187
"Butte-Silver Bow, MT",36068,202
"Cadillac, MI",49409,146
"Calhoun, GA",58954,169
"California-Lexington Park, MD",114877,200
"Cambridge, MD",32726,174
"Cambridge, OH",38098,125
"Camden, AR",26744,92
"Campbellsville, KY",37772,137
"Canon City, CO",49621,238
"Canton-Massillon, OH",399316,127
"Cape Coral-Fort Myers, FL",822453,276
"Cape Girardeau, MO-IL",98275,124
"Carbondale-Marion, IL",132693,95
"Carlsbad-Artesia, NM",60400,154
"Carson City, NV",58130,303
"Casper, WY",79601,163
"Cedar City, UT",62429,249
"Cedar Rapids, IA",275592,143
"Cedartown, GA",43709,163
"Celina, OH",42348,144
"Centralia, IL",36914,78
"Centralia, WA",85370,277
"Chambersburg-Waynesboro, PA",156902,167
"Champaign-Urbana, IL",223265,150
"Charleston-Mattoon, IL",56658,87
"Charleston-North Charleston, SC",830529,263
"Charleston, WV",251914,96
"Charlotte-Concord-Gastonia, NC-SC",2756069,218
"Charlottesville, VA",223825,258
"Chattanooga, TN-GA",574507,209
"Cheyenne, WY",100723,181
"Chicago-Naperville-Elgin, IL-IN-WI",9441957,205
"Chico, CA",207303,266
"Chillicothe, OH",76606,170
"Cincinnati, OH-KY-IN",2265051,179
"Lebanon, NH-VT",223072,256
"Clarksburg, WV",88955,118
"Clarksdale, MS",20197,38
"Clarksville, TN-KY",336605,189
"Clearlake, CA",68191,251
"Cleveland-Elyria, OH",2063132,129
"Cleveland, MS",29370,95
"Cleveland, TN",128479,198
"Clewiston, FL",41339,221
"Clinton, IA",46344,106
"Clovis, NM",47532,136
"Coeur d'Alene, ID",183578,344
"Coffeyville, KS",30996,67
"Coldwater, MI",44531,154
"College Station-Bryan, TX",277824,199
"Colorado Springs, CO",765424,226
"Columbia, MO",214630,184
"Columbia, SC",847686,149
"Columbus, GA-AL",324110,128
"Columbus, IN",83540,145
"Columbus, MS",57603,123
"Columbus, NE",34296,202
"Columbus, OH",2161511,196
"Concord, NH",156020,263
"Connersville, IN",23349,121
"Cookeville, TN",117415,206
"Coos Bay, OR",64990,265
"Cordele, GA",19708,136
"Corinth, MS",34204,110
"Cornelia, GA",47475,192
"Corning, NY",92599,110
"Corpus Christi, TX",421628,191
"Corsicana, TX",54636,165
"Cortland, NY",46126,116
"Corvallis, OR",97630,296
"Coshocton, OH",36571,122
"Craig, CO",13177,188
"Crawfordsville, IN",38273,115
"Crescent City, CA",27082,275
"Crestview-Fort Walton Beach-Destin, FL",299786,482
"Crossville, TN",63522,205
"Cullman, AL",90665,166
"Cullowhee, NC",56922,286
"Cumberland, MD-WV",94122,102
"Dallas-Fort Worth-Arlington, TX",7943685,206
"Dalton, GA",143604,172
"Danville, IL",72337,73
"Danville, KY",55264,145
"Danville, VA",102181,122
"Daphne-Fairhope-Foley, AL",246435,350
"Davenport-Moline-Rock Island, IA-IL",379374,128
"Dayton-Kettering, OH",812595,134
"Dayton, TN",33730,206
"Decatur, AL",157425,149
"Decatur, IL",101483,86
"Decatur, IN",36068,131
"Defiance, OH",38187,114
"Del Rio, TX",47606,142
"Deltona-Daytona Beach-Ormond Beach, FL",705897,245
"Deming, NM",25749,127
"Denver-Aurora-Lakewood, CO",2985871,298
"DeRidder, LA",36570,140
"Des Moines-West Des Moines, IA",729053,231
"Detroit-Warren-Dearborn, MI",4345761,174
"Dickinson, ND",33821,130
"Dixon, IL",33848,98
"Dodge City, KS",33848,188
"Dothan, AL",152517,132
"Douglas, GA",51355,133
"Dover, DE",186946,198
"Dublin, GA",65267,125
"DuBois, PA",77904,100
"Dubuque, IA",98677,151
"Duluth, MN-WI",291323,182
"Dumas, TX",20996,116
"Duncan, OK",43710,102
"Durango, CO",56607,445
"Durant, OK",48182,175
"Durham-Chapel Hill, NC",664310,250
"Dyersburg, TN",36410,105
"Eagle Pass, TX",57843,171
"East Stroudsburg, PA",167198,186
"Easton, MD",37932,304
"Eau Claire, WI",173644,176
"Edwards, CO",55285,650
"Effingham, IL",34325,128
"El Campo, TX",41824,143
"El Centro, CA",178713,213
"El Dorado, AR",37752,88
