"Name","Population","Median Housing Price per sqft","Personal Income"
"Abilene, TX",179308,161,53457
"Akron, OH",697627,134,60170
"Albany-Lebanon, OR",130467,269,52469
"Albany-Schenectady-Troy, NY",904617,218,66984
"Albany, GA",145786,119,45893
"Albuquerque, NM",919543,209,53954
"Alexandria, LA",149189,116,51451
"Allentown-Bethlehem-Easton, PA-NJ",871229,187,62912
"Altoona, PA",121032,101,55101
"Amarillo, TX",271171,159,57124
"Ames, IA",126282,212,50657
"Anchorage, AK",400470,242,70566
"Ann Arbor, MI",366376,249,71368
"Anniston-Oxford, AL",115788,112,42533
"Appleton, WI",244845,195,60060
"Asheville, NC",476072,298,57810
"Athens-Clarke County, GA",220405,203,49884
"Atlanta-Sandy Springs-Alpharetta, GA",6222106,196,64107
"Atlantic City-Hammonton, NJ",275638,243,55918
"Auburn-Opelika, AL",180773,184,46691
"Augusta-Richmond County, GA-SC",624083,153,49496
"Austin-Round Rock-Georgetown, TX",2421115,271,75119
"Bakersfield, CA",916108,227,44862
"Baltimore-Columbia-Towson, MD",2835672,212,71420
"Bangor, ME",153704,180,51998
"Barnstable Town, MA",232457,533,85317
"Baton Rouge, LA",873060,162,56897
"Battle Creek, MI",133289,134,44904
"Bay City, MI",102821,118,49667
"Beaumont-Port Arthur, TX",393575,125,49526
"Beckley, WV",112369,106,47065
"Bellingham, WA",230677,361,58993
"Bend, OR",206549,387,71627
"Billings, MT",190208,204,64017
"Binghamton, NY",244889,111,49216
"Birmingham-Hoover, AL",1116857,157,62262
"Bismarck, ND",134846,178,68698
"Blacksburg-Christiansburg, VA",165812,175,46345
"Bloomington, IL",171141,124,58178
"Bloomington, IN",161227,185,53735
"Bloomsburg-Berwick, PA",83017,142,53399
"Boise City, ID",811336,283,59739
"Boston-Cambridge-Newton, MA-NH",4900550,458,94082
"Boulder, CO",327468,407,98553
"Bowling Green, KY",185682,182,44902
"Bremerton-Silverdale-Port Orchard, WA",277673,314,68198
"Bridgeport-Stamford-Norwalk, CT",962946,349,125185
"Brownsville-Harlingen, TX",425208,170,37325
"Brunswick, GA",114442,224,54827
"Buffalo-Cheektowaga, NY",1161192,171,56414
"Burlington-South Burlington, VT",227521,268,67342
"Burlington, NC",176353,187,48980
"California-Lexington Park, MD",114877,200,66146
"Canton-Massillon, OH",399316,127,53175
"Cape Coral-Fort Myers, FL",822453,276,63568
"Cape Girardeau, MO-IL",98275,124,49170
"Carbondale-Marion, IL",132693,95,48363
"Carson City, NV",58130,303,61026
"Casper, WY",79601,163,68472
"Cedar Rapids, IA",275592,143,61165
"Chambersburg-Waynesboro, PA",156902,167,55212
"Champaign-Urbana, IL",223265,150,55562
"Charleston-North Charleston, SC",830529,263,63159
"Charleston, WV",251914,96,52369
"Charlotte-Concord-Gastonia, NC-SC",2756069,218,65156
"Charlottesville, VA",223825,258,80969
"Chattanooga, TN-GA",574507,209,54665
"Cheyenne, WY",100723,181,59148
"Chicago-Naperville-Elgin, IL-IN-WI",9441957,205,72512
"Chico, CA",207303,266,54974
"Cincinnati, OH-KY-IN",2265051,179,65253
"Clarksville, TN-KY",336605,189,47421
"Cleveland-Elyria, OH",2063132,129,62921
"Cleveland, TN",128479,198,46240
"Coeur d'Alene, ID",183578,344,60474
"College Station-Bryan, TX",277824,199,48514
"Colorado Springs, CO",765424,226,61217
"Columbia, MO",214630,184,54618
"Columbia, SC",847686,149,54597
"Columbus, GA-AL",324110,128,46748
"Columbus, IN",83540,145,61920
"Columbus, OH",2161511,196,61228
"Corpus Christi, TX",421628,191,54916
"Corvallis, OR",97630,296,55325
"Crestview-Fort Walton Beach-Destin, FL",299786,482,67820
"Cumberland, MD-WV",94122,102,47013
"Dallas-Fort Worth-Arlington, TX",7943685,206,70493
"Dalton, GA",143604,172,43089
"Danville, IL",72337,73,49105
"Daphne-Fairhope-Foley, AL",246435,350,56747
"Davenport-Moline-Rock Island, IA-IL",379374,128,56690
"Dayton-Kettering, OH",812595,134,56468
"Decatur, AL",157425,149,45215
"Decatur, IL",101483,86,56774
"Deltona-Daytona Beach-Ormond Beach, FL",705897,245,54768
"Denver-Aurora-Lakewood, CO",2985871,298,84788
"Des Moines-West Des Moines, IA",729053,231,64401
"Detroit-Warren-Dearborn, MI",4345761,174,61322
"Dothan, AL",152517,132,49482
"Dover, DE",186946,198,51188
"Dubuque, IA",98677,151,60090
"Duluth, MN-WI",291323,182,54565
"Durham-Chapel Hill, NC",664310,250,63799
"East Stroudsburg, PA",167198,186,52643
"Eau Claire, WI",173644,176,56225
"El Centro, CA",178713,213,45188
"El Paso, TX",872195,162,44163
"Elizabethtown-Fort Knox, KY",157026,157,50602
"Elkhart-Goshen, IN",206890,138,58570
"Elmira, NY",81426,102,51630
"Enid, OK",61920,114,48872
"Erie, PA",267689,136,51396
"Eugene-Springfield, OR",382353,300,56188
"Evansville, IN-KY",314038,134,58138
"Fairbanks, AK",95356,184,67790
"Fargo, ND-MN",258663,154,64468
"Farmington, NM",120418,166,43489
"Fayetteville-Springdale-Rogers, AR",576403,202,74943
"Fayetteville, NC",529318,160,45051
"Flagstaff, AZ",144060,380,58933
"Flint, MI",401983,129,47564
"Florence-Muscle Shoals, AL",153911,147,44713
"Florence, SC",199119,138,50679
"Fond du Lac, WI",103836,165,58204
"Fort Collins, CO",366778,279,67849
"Fort Smith, AR-OK",247072,140,45543
"Fort Wayne, IN",426076,151,57079
"Fresno, CA",1015190,252,50549
"Gadsden, AL",103088,115,42951
"Gainesville, FL",348282,209,50892
"Gainesville, GA",212692,202,57416
"Gettysburg, PA",106027,198,55597
"Glens Falls, NY",126440,213,54454
"Goldsboro, NC",117286,150,49370
"Grand Forks, ND-MN",103144,131,60462
"Grand Island, NE",76333,126,54336
"Grand Junction, CO",158636,272,54654
