Name,Price,Region,Population,Income,educated,Education_Level
"Abilene, TX",161,South,179308,53457,0.254974382,Low Education
"Akron, OH",134,Midwest,697627,60170,0.368361741,High Education
"Albany-Lebanon, OR",269,West,130467,52469,0.203500339,Low Education
"Albany-Schenectady-Troy, NY",218,Northeast,904617,66984,0.412577972,High Education
"Albany, GA",119,South,145786,45893,0.219737904,Low Education
"Albuquerque, NM",209,West,919543,53954,0.359612648,High Education
"Alexandria, LA",116,South,149189,51451,0.232511242,Low Education
"Allentown-Bethlehem-Easton, PA-NJ",187,Northeast,871229,62912,0.326948324,Medium Education
"Altoona, PA",101,Northeast,121032,55101,0.225309536,Low Education
"Amarillo, TX",159,South,271171,57124,0.256610077,Low Education
"Ames, IA",212,Midwest,126282,50657,0.50758858,High Education
"Anchorage, AK",242,Pacific,400470,70566,0.333947264,Medium Education
"Ann Arbor, MI",249,Midwest,366376,71368,0.578973559,High Education
"Anniston-Oxford, AL",112,South,115788,42533,0.211116491,Low Education
"Appleton, WI",195,Midwest,244845,60060,0.360230008,High Education
"Asheville, NC",298,South,476072,57810,0.413647336,High Education
"Athens-Clarke County, GA",203,South,220405,49884,0.428894602,High Education
"Atlanta-Sandy Springs-Alpharetta, GA",196,South,6222106,64107,0.418221402,High Education
"Atlantic City-Hammonton, NJ",243,Northeast,275638,55918,0.325119763,Medium Education
"Auburn-Opelika, AL",184,South,180773,46691,0.423448238,High Education
"Augusta-Richmond County, GA-SC",153,South,624083,49496,0.296339255,Medium Education
"Austin-Round Rock-Georgetown, TX",271,South,2421115,75119,0.520911869,High Education
"Bakersfield, CA",227,West,916108,44862,0.190415982,Low Education
"Baltimore-Columbia-Towson, MD",212,South,2835672,71420,0.443992289,High Education
"Bangor, ME",180,Northeast,153704,51998,0.275189357,Medium Education
"Barnstable Town, MA",533,Northeast,232457,85317,0.500693683,High Education
"Baton Rouge, LA",162,South,873060,56897,0.301394023,Medium Education
"Battle Creek, MI",134,Midwest,133289,44904,0.238590864,Low Education
"Bay City, MI",118,Midwest,102821,49667,0.223534447,Low Education
"Beaumont-Port Arthur, TX",125,South,393575,49526,0.211085991,Low Education
"Beckley, WV",106,South,112369,47065,0.209996872,Low Education
"Bellingham, WA",361,West,230677,58993,0.404432115,High Education
"Bend, OR",387,West,206549,71627,0.448177335,High Education
"Billings, MT",204,West,190208,64017,0.350979441,Medium Education
"Binghamton, NY",111,Northeast,244889,49216,0.306364798,Medium Education
"Birmingham-Hoover, AL",157,South,1116857,62262,0.35988299,High Education
"Bismarck, ND",178,Midwest,134846,68698,0.335237928,Medium Education
"Blacksburg-Christiansburg, VA",175,South,165812,46345,0.392382153,High Education
"Bloomington, IL",124,Midwest,171141,58178,0.47510981,High Education
"Bloomington, IN",185,Midwest,161227,53735,0.466004417,High Education
"Bloomsburg-Berwick, PA",142,Northeast,83017,53399,0.291248306,Medium Education
"Boise City, ID",283,West,811336,59739,0.379066958,High Education
"Boston-Cambridge-Newton, MA-NH",458,Northeast,4900550,94082,0.514164533,High Education
"Boulder, CO",407,West,327468,98553,0.631782893,High Education
"Bowling Green, KY",182,South,185682,44902,0.275088618,Medium Education
"Bremerton-Silverdale-Port Orchard, WA",314,West,277673,68198,0.361680151,High Education
"Bridgeport-Stamford-Norwalk, CT",349,Northeast,962946,125185,0.504600178,High Education
"Brownsville-Harlingen, TX",170,South,425208,37325,0.216324308,Low Education
"Brunswick, GA",224,South,114442,54827,0.298585006,Medium Education
"Buffalo-Cheektowaga, NY",171,Northeast,1161192,56414,0.360258479,High Education
"Burlington-South Burlington, VT",268,Northeast,227521,67342,0.527583523,High Education
"Burlington, NC",187,South,176353,48980,0.26254713,Low Education
"California-Lexington Park, MD",200,South,114877,66146,0.405773734,High Education
"Canton-Massillon, OH",127,Midwest,399316,53175,0.24896015,Low Education
"Cape Coral-Fort Myers, FL",276,South,822453,63568,0.321031435,Medium Education
"Cape Girardeau, MO-IL",124,Midwest,98275,49170,0.31493891,Medium Education
"Carbondale-Marion, IL",95,Midwest,132693,48363,0.31238829,Medium Education
"Carson City, NV",303,West,58130,61026,0.240345918,Low Education
"Casper, WY",163,West,79601,68472,0.315550019,Medium Education
"Cedar Rapids, IA",143,Midwest,275592,61165,0.350107665,Medium Education
"Chambersburg-Waynesboro, PA",167,Northeast,156902,55212,0.244750969,Low Education
"Champaign-Urbana, IL",150,Midwest,223265,55562,0.460557944,High Education
"Charleston-North Charleston, SC",263,South,830529,63159,0.407259055,High Education
"Charleston, WV",96,South,251914,52369,0.245200591,Low Education
"Charlotte-Concord-Gastonia, NC-SC",218,South,2756069,65156,0.406509487,High Education
"Charlottesville, VA",258,South,223825,80969,0.51940495,High Education
"Chattanooga, TN-GA",209,South,574507,54665,0.324997787,Medium Education
"Cheyenne, WY",181,West,100723,59148,0.283763452,Medium Education
"Chicago-Naperville-Elgin, IL-IN-WI",205,Midwest,9441957,72512,0.41135697,High Education
"Chico, CA",266,West,207303,54974,0.345276608,Medium Education
"Cincinnati, OH-KY-IN",179,Midwest,2265051,65253,0.369305087,High Education
"Clarksville, TN-KY",189,South,336605,47421,0.277126415,Medium Education
"Cleveland-Elyria, OH",129,Midwest,2063132,62921,0.361251612,High Education
"Cleveland, TN",198,South,128479,46240,0.240629128,Low Education
"Coeur d'Alene, ID",344,West,183578,60474,0.29592995,Medium Education
"College Station-Bryan, TX",199,South,277824,48514,0.411010033,High Education
"Colorado Springs, CO",226,West,765424,61217,0.422732153,High Education
"Columbia, MO",184,Midwest,214630,54618,0.473262112,High Education
